DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Austria,2019,35644188,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Austria,2020,9168431,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Bulgaria,2019,11713068,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Bulgaria,2020,3729017,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Germany (until 1990 former territory of the FRG),2019,226764086,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Germany (until 1990 former territory of the FRG),2020,57795978,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Greece,2019,56088527,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Greece,2020,17341192,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Spain,2019,228262372,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Spain,2020,57797305,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,France,2019,168726788,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,France,2020,50724011,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Hungary,2019,16700750,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Hungary,2020,3962687,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Italy,2019,160667939,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Italy,2020,40405355,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Norway,2019,40348437,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Norway,2020,13216883,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Poland,2019,46942771,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Poland,2020,13825460,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Portugal,2019,55007894,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Portugal,2020,16548993,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Romania,2019,21565865,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Romania,2020,6633447,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Sweden,2019,37614763,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Sweden,2020,9317677,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Ireland,2019,37947510,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Ireland,2020,8268297,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Croatia,2019,10623239,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Croatia,2020,1943547,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Finland,2019,23287929,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Finland,2020,5428622,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Netherlands,2019,81192507,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Netherlands,2020,23594783,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Iceland,2019,7584197,
ESTAT:TTR00012(1.0),13/02/23 23:00:00,Annual,Passenger,Passengers carried,Total transport,Total,Iceland,2020,1527633,
