DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Accommodation and food service activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2019-05,118.5,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Accommodation and food service activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2020-05,39.5,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Information and communication,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2019-05,112.1,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Information and communication,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2020-05,108.1,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Telecommunications,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2019-05,99.0,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Telecommunications,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2020-05,98.7,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Real estate activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2019-05,97.4,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,Real estate activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2020-05,79.4,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,"Travel agency, tour operator and other reservation service and related activities","Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2019-05,114.4,s
ESTAT:STS_SEPR_M(1.0),06/02/23 11:00:00,Monthly,Volume index of production,"Travel agency, tour operator and other reservation service and related activities","Calendar adjusted data, not seasonally adjusted data","Index, 2015=100",European Union - 27 countries (from 2020),2020-05,13.0,s
