DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,DE,2019,1295,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,DE,2020,1939,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,DE,2021,1907,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,ES,2019,1061,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,ES,2020,1074,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,ES,2021,1021,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,FR,2019,1225,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,FR,2020,1300,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,FR,2021,1346,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,IT,2019,1217,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,IT,2020,1193,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y18-24,T,IT,2021,1156,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,DE,2019,3885,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,DE,2020,4738,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,DE,2021,4907,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,ES,2019,4193,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,ES,2020,4141,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,ES,2021,4479,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,FR,2019,3411,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,FR,2020,3441,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,FR,2021,3346,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,IT,2019,4941,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,IT,2020,4872,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y25-49,T,IT,2021,4992,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,DE,2019,3663,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,DE,2020,3382,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,DE,2021,3577,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,ES,2019,2752,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,ES,2020,2886,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,ES,2021,2936,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,FR,2019,2232,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,FR,2020,2639,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,FR,2021,2744,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,IT,2019,3347,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,IT,2020,3277,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y50-64,T,IT,2021,3331,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,DE,2019,1851,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,DE,2020,1899,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,DE,2021,1867,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,ES,2019,735,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,ES,2020,872,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,ES,2021,814,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,FR,2019,814,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,FR,2020,935,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,FR,2021,1069,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,IT,2019,1169,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,IT,2020,1271,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y65-74,T,IT,2021,1180,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,DE,2019,1275,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,DE,2020,1632,b
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,DE,2021,1640,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,ES,2019,858,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,ES,2020,1062,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,ES,2021,1041,
ESTAT:ILC_PEPS01N(1.0),15/02/23 23:00:00,A,THS_PER,Y_GE75,T,FR,2019,839,
