date,value
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,4.0
2020-01-24,32.0
2020-01-25,64.0
2020-01-26,56.0
2020-01-27,104.0
2020-01-28,196.0
2020-01-29,8.0
2020-01-30,156.0
2020-01-31,168.0
2020-02-01,184.0
2020-02-02,416.0
2020-02-03,256.0
2020-02-04,264.0
2020-02-05,288.0
2020-02-06,280.0
2020-02-07,340.0
2020-02-08,348.0
2020-02-09,400.0
2020-02-10,428.0
2020-02-11,400.0
2020-02-12,20.0
2020-02-13,1012.0
2020-02-14,608.0
2020-02-15,573.0
2020-02-16,416.0
2020-02-17,392.0
2020-02-18,560.0
2020-02-19,460.0
2020-02-20,496.0
2020-02-21,17.0
2020-02-22,833.0
2020-02-23,43.0
2020-02-24,644.0
2020-02-25,323.0
2020-02-26,245.0
2020-02-27,177.0
2020-02-28,236.0
2020-02-29,288.0
2020-03-01,221.0
2020-03-02,379.0
2020-03-03,325.0
2020-03-04,413.0
2020-03-05,425.0
2020-03-06,510.0
2020-03-07,465.0
2020-03-08,1113.0
2020-03-09,892.0
2020-03-10,1285.0
2020-03-11,1644.0
2020-03-12,1478.0
2020-03-13,2378.0
2020-03-14,1971.0
2020-03-15,3144.0
2020-03-16,3334.0
2020-03-17,3976.0
2020-03-18,4413.0
2020-03-19,5358.0
2020-03-20,7428.0
2020-03-21,8582.0
2020-03-22,8572.0
2020-03-23,9847.0
2020-03-24,11373.0
2020-03-25,13888.0
2020-03-26,15084.0
2020-03-27,16870.0
2020-03-28,18610.0
2020-03-29,17568.0
2020-03-30,20008.0
2020-03-31,23415.0
2020-04-01,30078.0
2020-04-02,28042.0
2020-04-03,29404.0
2020-04-04,29426.0
2020-04-05,26053.0
2020-04-06,28477.0
2020-04-07,37906.0
2020-04-08,31627.0
2020-04-09,36192.0
2020-04-10,34252.0
2020-04-11,30545.0
2020-04-12,28313.0
2020-04-13,28435.0
2020-04-14,31932.0
2020-04-15,38850.0
2020-04-16,33940.0
