date,death,cases,icu,vaccines
2020-01-06,0,0,0,0
2020-01-18,0,0,0,0
2020-01-24,0,2.0,0,0
2020-01-25,0,1.0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,1.0,0,0
2020-01-28,0,4.0,0,0
2020-01-29,0,2.0,0,0
2020-01-30,1.0,0,0,0
2020-01-31,0,7.0,0,0
2020-02-01,0,6.0,0,0
2020-02-02,1.0,2.0,0,0
2020-02-03,0,8.0,0,0
2020-02-04,0,1.0,0,0
2020-02-05,0,1.0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,2.0,0,0
2020-02-08,0,9.0,0,0
2020-02-09,0,3.0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,4.0,0,0
2020-02-12,0,1.0,0,0
2020-02-13,0,1.0,0,0
2020-02-14,0,1.0,0,0
2020-02-15,1.0,1.0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,1.0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,1.0,0,0
2020-02-20,0,2.0,0,0
2020-02-21,1.0,18.0,0,0
2020-02-22,2.0,42.0,0,0
2020-02-23,1.0,99.0,0,0
2020-02-24,4.0,76.0,26.0,0
2020-02-25,3.0,107.0,35.0,0
2020-02-26,3.0,158.0,36.0,0
2020-02-27,5.0,249.0,63.0,0
2020-02-28,4.0,334.0,72.0,0
2020-02-29,9.0,352.0,114.0,0
2020-03-01,5.0,756.0,151.0,0
2020-03-02,20.0,560.0,176.0,0
2020-03-03,29.0,704.0,241.0,0
2020-03-04,30.0,1045.0,310.0,0
2020-03-05,47.0,1348.0,366.0,0
2020-03-06,57.0,1841.0,481.0,0
2020-03-07,49.0,2194.0,588.0,0
2020-03-08,148.0,2373.0,679.0,0
2020-03-09,121.0,3256.0,767.0,0
2020-03-10,192.0,3306.0,919.0,0
2020-03-11,248.0,5248.0,1081.0,0
2020-03-12,210.0,4831.0,1230.0,0
2020-03-13,387.0,10342.0,1418.0,0
2020-03-14,294.0,7909.0,1635.0,0
2020-03-15,519.0,8751.0,1864.0,0
2020-03-16,532.0,10777.0,2123.0,0
2020-03-17,642.0,10668.0,2395.0,0
2020-03-18,685.0,11980.0,3465.0,0
2020-03-19,876.0,19296.0,4068.0,0
2020-03-20,1268.0,19021.0,4894.0,0
2020-03-21,1520.0,21930.0,5537.0,0
2020-03-22,1453.0,19317.0,6081.0,0
2020-03-23,1708.0,26174.0,7001.0,0
2020-03-24,1963.0,25077.0,8032.0,0
2020-03-25,2384.0,31332.0,9085.0,0
2020-03-26,2518.0,33719.0,9887.0,0
2020-03-27,2826.0,34764.0,10859.0,0
2020-03-28,3008.0,36500.0,11797.0,0
2020-03-29,2942.0,29742.0,12626.0,0
2020-03-30,3330.0,32191.0,13907.0,0
2020-03-31,3662.0,36625.0,14983.0,0
2020-04-01,4529.0,36669.0,16195.0,0
2020-04-02,4123.0,35398.0,20412.0,0
2020-04-03,4554.0,37915.0,21701.0,0
2020-04-04,4315.0,31129.0,22377.0,0
2020-04-05,3682.0,28238.0,22966.0,0
2020-04-06,4028.0,27510.0,23408.0,0
2020-04-07,5246.0,26957.0,23936.0,0
2020-04-08,4314.0,32728.0,24075.0,0
2020-04-09,5037.0,33541.0,23962.0,0
2020-04-10,4715.0,32616.0,24243.0,0
2020-04-11,4062.0,28376.0,24045.0,0
2020-04-12,3749.0,74878.0,23989.0,0
2020-04-13,3701.0,25479.0,23794.0,0
2020-04-14,3855.0,38172.0,23481.0,0
2020-04-15,5185.0,31408.0,23010.0,0
2020-04-16,4537.0,44148.0,22700.0,0
2020-04-17,4416.0,31702.0,22186.0,0
2020-04-18,3415.0,28913.0,22032.0,0
2020-04-19,3162.0,30433.0,21574.0,0
2020-04-20,3258.0,23492.0,21373.0,0
2020-04-21,3598.0,27890.0,20582.0,0
2020-04-22,3672.0,29621.0,19910.0,0
2020-04-23,3395.0,26975.0,19328.0,0
2020-04-24,3343.0,26497.0,18521.0,0
2020-04-25,2954.0,25305.0,18149.0,0
2020-04-26,2299.0,22237.0,17738.0,0
2020-04-27,2555.0,23951.0,17180.0,0
2020-04-28,2586.0,24216.0,16484.0,0
2020-04-29,2953.0,22838.0,15830.0,0
2020-04-30,2410.0,23086.0,15266.0,0
2020-05-01,2008.0,23397.0,14625.0,0
2020-05-02,2422.0,22251.0,14183.0,0
2020-05-03,1562.0,21148.0,13942.0,0
2020-05-04,1824.0,21369.0,13546.0,0
2020-05-05,2061.0,22360.0,12863.0,0
2020-05-06,2381.0,27036.0,12166.0,0
2020-05-07,1936.0,24995.0,11555.0,0
2020-05-08,2023.0,23531.0,11052.0,0
2020-05-09,1510.0,21089.0,10603.0,0
2020-05-10,1213.0,19761.0,10447.0,0
2020-05-11,1327.0,23546.0,10159.0,0
2020-05-12,1673.0,22453.0,9585.0,0
2020-05-13,1542.0,20427.0,9054.0,0
2020-05-14,1753.0,20589.0,8695.0,0
2020-05-15,1472.0,20437.0,8446.0,0
2020-05-16,1174.0,17645.0,8005.0,0
2020-05-17,1301.0,16453.0,7854.0,0
2020-05-18,1059.0,17019.0,7565.0,0
2020-05-19,997.0,18284.0,7213.0,0
2020-05-20,1220.0,18226.0,6775.0,0
2020-05-21,1026.0,17658.0,6576.0,0
2020-05-22,1620.0,18578.0,6338.0,0
2020-05-23,926.0,16966.0,6111.0,0
2020-05-24,727.0,14770.0,5992.0,0
2020-05-25,720.0,14601.0,5823.0,0
2020-05-26,1265.0,16156.0,5560.0,0
2020-05-27,843.0,15131.0,5268.0,0
2020-05-28,853.0,20060.0,5043.0,0
2020-05-29,907.0,16608.0,4855.0,0
2020-05-30,787.0,17103.0,4731.0,0
2020-05-31,531.0,14533.0,4666.0,0
2020-06-01,575.0,14839.0,4553.0,0
2020-06-02,765.0,14611.0,4438.0,0
2020-06-03,736.0,15201.0,4144.0,0
2020-06-04,644.0,19802.0,3962.0,0
2020-06-05,705.0,16566.0,3776.0,0
2020-06-06,602.0,15806.0,3651.0,0
2020-06-07,466.0,14729.0,3615.0,0
2020-06-08,524.0,14882.0,3529.0,0
2020-06-09,651.0,15313.0,3364.0,0
2020-06-10,680.0,15805.0,3173.0,0
2020-06-11,507.0,16563.0,2955.0,0
2020-06-12,541.0,16762.0,2923.0,0
2020-06-13,445.0,16008.0,2854.0,0
2020-06-14,395.0,14774.0,2895.0,0
2020-06-15,404.0,14038.0,2803.0,0
2020-06-16,614.0,15639.0,2679.0,0
2020-06-17,624.0,16055.0,2548.0,0
