DATAFLOW,LAST UPDATE,freq,indic_et,sitc06,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Germany (until 1990 former territory of the FRG),2017,103.6,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Germany (until 1990 former territory of the FRG),2018,104.4,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Germany (until 1990 former territory of the FRG),2019,101.5,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Germany (until 1990 former territory of the FRG),2020,91.4,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Germany (until 1990 former territory of the FRG),2021,98.2,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Spain,2017,106.1,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Spain,2018,107.0,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Spain,2019,107.4,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Spain,2020,96.4,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Spain,2021,105.5,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,France,2017,101.2,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,France,2018,102.4,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,France,2019,103.0,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,France,2020,85.8,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,France,2021,92.8,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Italy,2017,106.4,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Italy,2018,106.2,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Italy,2019,106.1,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Italy,2020,95.4,
ESTAT:TET00001(1.0),13/01/23 11:00:00,Annual,Export volume index (2015=100),Total - all products,All countries of the world,Italy,2021,105.9,
