DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Austria,2020,6254,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Bulgaria,2020,7936,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Switzerland,2020,9178,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Cyprus,2020,131,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Czechia,2020,10397,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Germany (until 1990 former territory of the FRG),2020,38632,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Denmark,2020,1050,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Estonia,2020,201,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Greece,2020,5021,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Spain,2020,60358,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Finland,2020,522,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,France,2020,59814,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Croatia,2020,4495,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Hungary,2020,8804,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Ireland,2020,1871,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Iceland,2020,29,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Liechtenstein,2020,29,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Lithuania,2020,2252,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Luxembourg,2020,453,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Latvia,2020,698,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Malta,2020,191,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Netherlands,2020,17527,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Norway,2020,415,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Poland,2020,40058,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Portugal,2020,7009,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Romania,2020,16955,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Serbia,2020,8866,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Sweden,2020,9116,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Slovenia,2020,3399,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,Total,"COVID-19, virus identified",All deaths reported in the country,Slovakia,2020,3726,
