date,value
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,27.857999999999997
2020-01-28,65.144
2020-01-29,66.284
2020-01-30,87.857
2020-01-31,107.285
2020-02-01,124.429
2020-02-02,175.571
2020-02-03,197.287
2020-02-04,207.144
2020-02-05,247.144
2020-02-06,264.858
2020-02-07,289.573
2020-02-08,313.001
2020-02-09,310.856
2020-02-10,335.428
2020-02-11,354.856
2020-02-12,316.572
2020-02-13,421.00100000000003
2020-02-14,459.28499999999997
2020-02-15,491.28499999999997
2020-02-16,493.42999999999995
2020-02-17,488.28600000000006
2020-02-18,511.28599999999994
2020-02-19,573.857
2020-02-20,499.858
2020-02-21,415.001
2020-02-22,451.85900000000004
2020-02-23,397.28600000000006
2020-02-24,433.572
2020-02-25,400.861
2020-02-26,371.57099999999997
2020-02-27,326.0
2020-02-28,357.28599999999994
2020-02-29,279.144
2020-03-01,304.28499999999997
2020-03-02,265.714
2020-03-03,265.716
2020-03-04,288.573
2020-03-05,325.57
2020-03-06,364.287
2020-03-07,388.571
2020-03-08,516.2889999999999
2020-03-09,590.0
2020-03-10,726.144
2020-03-11,901.717
2020-03-12,1051.4320000000002
2020-03-13,1317.1439999999998
2020-03-14,1530.429
2020-03-15,1821.286
2020-03-16,2172.286
2020-03-17,2555.1440000000002
2020-03-18,2950.7149999999997
2020-03-19,3503.288
2020-03-20,4224.858
2020-03-21,5165.0
2020-03-22,5945.001
2020-03-23,6875.003000000001
2020-03-24,7931.143
2020-03-25,9283.005000000001
2020-03-26,10670.720000000001
2020-03-27,12025.715
2020-03-28,13457.716
2020-03-29,14741.145
2020-03-30,16193.431
2020-03-31,17913.721
2020-04-01,20227.861
2020-04-02,22079.146
2020-04-03,23871.864
2020-04-04,25363.571
2020-04-05,26628.576
2020-04-06,27838.004
2020-04-07,29908.435
2020-04-08,30129.998
2020-04-09,31294.148
2020-04-10,31988.15
2020-04-11,32148.58
