DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2011,1.7,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2012,-0.9,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2013,-0.3,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2014,1.4,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,2.0,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,1.9,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,2.6,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,1.8,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,1.6,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,-6.1,
ESTAT:TEC00115(1.0),06/02/23 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,5.3,
